"";"classe 1";"classe 2";"classe 3";"classe 4"
"busy";1;0,385;1;0,637
"bureaucracy";0;1;1;1
"break";0,003;1;1;1
"boycott";1;1;0;1
"boy";0;1;1;1
"biological";1;0,004;1;1
"beat";1;0,084;1;1
"ass";0,172;1;1;1
"angry";1;1;1;0
"android";0;1;1;1
"agree";1;0,039;1;1
"ago";1;1;1;0,002
"warmonger";1;1;1;0
"version";0,093;1;1;0,332
"uk";1;1;0;1
"troop";1;1;1;0,001
"today";0,7;0,084;1;1
"throw";1;1;1;0,04
"suppress";1;1;0;1
"step";1;1;1;0
"speak";0,335;0,385;1;1
"society";1;1;0,002;1
"ruin";1;0,179;0,882;1
"row";1;0,018;1;1
"rise";0,335;0,385;1;1
"resource";1;1;0,633;0,637
"remove";1;1;0,01;0,887
"question";1;0,084;1;1
"power";0,038;1;1;0,887
"pharmaceutical";1;0,018;1;1
"personal";1;1;0,039;1
"perfect";0,527;1;1;0,177
"pass";1;1;1;0,062
"news";1;0,385;1;0,637
"neighbor";1;1;0,001;1
"moral";0,527;1;1;0,177
"moment";1;0,084;1;1
"link";0,527;1;0,174;0,887
"land";1;1;0,633;0,637
"korea";1;0,179;0,882;1
"japanese";1;0,041;1;1
"individual";1;0,412;0,327;1
"impossible";0,093;0,412;1;1
"human";1;0,008;1;1
"home";0,335;1;0,633;1
"holy";1;0,008;1;1
"hide";1;1;1;0,002
"hand";0,093;0,412;1;1
"grade";1;0,041;1;1
"fun";1;0,084;1;1
"front";1;1;1;0
"forever";1;1;1;0
"evidence";1;1;0;1
"electric";1;0,018;1;1
"early";1;0,744;1;0,177
"dinner";0,7;1;1;0,002
"destroy";1;0,744;0,882;0,887
"department";0;1;1;1
"dangerous";0,527;0,744;0,882;1
"criminal";1;0,385;1;0,637
"competition";1;0,179;0,882;1
"claim";1;1;0,174;0,177
"censorship";1;1;0,002;1
"card";1;0,385;1;0,637
"book";1;0,744;0,882;0,887
"banana";1;1;0,002;1
"anti";1;1;0,061;0,637
"amaze";0,093;1;0,327;1
"ai";0;1;1;1
"zone";1;0,385;1;0,637
"wow";0,038;1;0,882;1
"wick";1;1;0,001;1
"warn";1;1;1;0,062
"violence";1;1;0,633;0,637
"view";1;1;0,01;0,887
"vice";1;1;1;0,001
"terrible";0,335;1;0,633;1
"target";1;1;0,061;1
"steer";1;0,041;1;1
"steak";1;0,385;0,633;1
"sport";1;0,744;1;0,177
"specialization";0,335;0,385;1;1
"soldier";1;0,385;1;0,637
"shut";1;0,179;0,882;1
"scale";1;1;1;0,062
"role";1;0,179;0,882;1
"repeat";1;1;0,633;0,637
"ref";0,335;1;0,633;1
"quote";1;0,018;1;1
"purpose";0,527;0,744;0,882;1
"protest";1;0,179;0,882;1
"profit";1;1;0,633;0,062
"product";0;1;1;1
"pro";1;0,179;0,882;1
"platform";1;1;0,061;0,637
"pick";1;0,385;0,633;1
"path";0,335;1;0,633;1
"pain";0;1;1;1
"openly";1;1;0,633;0,637
"online";1;1;0;1
"north";1;0,041;1;1
"music";1;0,041;1;1
"mom";1;0,018;1;1
"maximize";1;1;0,174;0,177
"math";1;1;0,061;1
"machine";1;1;0,633;0,062
"list";1;1;0,061;0,637
"limit";0;1;1;1
"leftwing";1;1;1;0
"large";1;0,018;1;1
"lab";1;1;1;0,062
"kla";1;1;0,882;0,177
"kenya";1;1;0,061;1
"kamla";1;1;1;0,001
"jail";0,527;1;0,174;0,887
"intelligence";0,038;1;1;0,887
"ideology";0,335;1;1;0,637
"hit";1;1;0,061;1
"hillary";1;1;1;0
"hilarious";1;0,018;1;1
"green";0,335;1;0,633;1
"gain";1;1;1;0
"form";1;0,179;1;0,887
"feed";1;1;0;1
"fake";0,038;1;1;0,887
"facetime";0;1;1;1
"face";0,527;1;0,882;0,887
"equipment";0,335;0,385;1;1
"encourage";1;1;0,633;0,637
"economic";0;1;1;1
"earth";1;1;0,633;0,637
"dominate";0,009;1;0,633;1
"dismiss";1;1;1;0,062
"data";1;1;0,174;0,887
"cute";0,335;1;0,061;1
"crime";1;0,385;0,633;1
"couple";0,038;1;1;0,177
"counter";1;1;0;1
"corruption";1;0,385;1;0,637
"correspondence";1;1;1;0
"computer";1;0,018;1;1
"clint";0,335;1;1;0,637
"clean";1;0,041;1;1
"city";1;0,041;1;1
"choice";1;1;0,061;1
"child";1;1;0,882;0,01
"chief";1;0,385;1;0,637
"charge";0,335;1;1;0,637
"center";1;1;0,882;0,01
"catch";1;0,018;1;1
"care";0,527;0,179;1;1
"caitlyn";1;0,385;1;0,637
"budget";0;1;1;1
"bise";1;0,744;0,882;0,887
"bet";0,009;1;0,633;1
"area";1;0,385;1;0,637
"apparently";1;0,179;1;0,887
"advertiser";1;1;0,001;1
"action";0,038;1;0,882;0,887
"abuse";0,527;0,179;1;1
"ability";1;1;0,061;1
"wi";0,009;1;1;0,637
"west";0,335;1;1;0,637
"wear";1;0,385;0,633;1
"warm";1;0,041;1;1
"vaccine";1;0,385;1;0,637
"threat";1;0,041;1;1
"supposedly";0,335;1;0,061;1
"supply";1;0,041;1;1
"sue";1;1;0,633;0,637
"stroke";0,335;0,385;1;1
"stand";1;0,041;1;1
"stage";1;1;1;0,001
"south";1;0,041;1;1
"software";0,335;1;0,633;0,637
"ship";1;0,041;1;1
"sh";1;1;1;0,062
"sex";1;1;0,061;1
"scientist";0,335;1;0,633;0,637
"scam";1;1;0,061;1
"russia";0,335;1;0,633;0,637
"road";1;1;0,633;0,637
"reply";1;1;0,001;1
"regime";1;1;0,633;0,637
"rachel";1;0,385;1;0,637
"pure";1;1;0,061;1
"public";1;0,385;1;0,637
"prove";1;0,041;1;1
"private";0,335;0,385;1;1
"politician";0,335;1;0,633;0,637
"pill";1;0,385;1;0,637
"past";0,335;0,385;1;1
"output";0,009;1;1;0,637
"operate";0,335;0,385;1;1
"offer";0,009;1;1;1
"objectively";1;0,041;1;1
"nuclear";1;0,385;1;0,637
"merit";1;1;0,061;1
"male";1;0,385;1;0,637
